trasa,team,pole,team_name,stop_order
TD-2OKE,R-02,00,ZET PRAGA,1
TD-2OKE,1028,01,Dw.Wschodni (Kijowska),2
TD-2OKE,1001,03,Kijowska,3
TD-2OKE,2001,07,al.Zieleniecka,4
TD-2OKE,2131,09,rondo Waszyngtona,5
TD-2OKE,2131,05,rondo Waszyngtona,6
TD-2OKE,7003,04,most Poniatowskiego,7
TD-2OKE,7041,06,Muzeum Narodowe,8
TD-2OKE,7033,06,Krucza,9
TD-2OKE,7013,10,Centrum,10
TD-2OKE,7002,08,Dw.Centralny,11
TD-2OKE,4052,04,pl.Starynkiewicza,12
TD-2OKE,4001,06,pl.Zawiszy,13
TD-2OKE,4002,02,Ochota-Ratusz,14
TD-2OKE,4003,08,pl.Narutowicza,15
TD-2OKE,4121,04,Wawelska,16
TD-2OKE,4004,04,Och-Teatr,17
TD-2OKE,4005,04,Bitwy Warszawskiej 1920 r.,18
TD-2OKE,4137,02,Hale Banacha,19
TD-2OKE,4006,04,Dickensa,20
TD-2OKE,4007,04,Korotyńskiego,21
TD-2OKE,4008,04,PKP Rakowiec,22
TD-2OKE,4010,04,Włochy-Ratusz,23
TD-2OKE,4011,04,Hynka,24
TD-2OKE,4012,04,Krakowiaków,25
TD-2OKE,4013,02,Lipowczana,26
TD-2OKE,4014,04,Instytut Lotnictwa,27
TD-3OKE,R-03,00,ZET MOKOTÓW,1
TD-3OKE,3240,04,Woronicza,2
TD-3OKE,3239,04,Wołoska,3
TD-3OKE,3238,04,Wołoska-Szpital,4
TD-3OKE,3237,04,Kulskiego,5
TD-3OKE,3286,04,Rakowiecka-Sanktuarium,6
TD-3OKE,3118,02,Kielecka,7
TD-3OKE,3228,04,Metro Pole Mokotowskie,8
TD-3OKE,7094,04,Biblioteka Narodowa,9
TD-3OKE,7093,04,GUS,10
TD-3OKE,7090,04,Nowowiejska,11
TD-3OKE,4153,02,NIK,12
TD-3OKE,4028,04,Raszyńska,13
TD-3OKE,4003,08,pl.Narutowicza,14
TD-3OKE,4121,04,Wawelska,15
TD-3OKE,4004,04,Och-Teatr,16
